Lex_Function	Keyword	Value
S0	_passer en revue_	_tour d’horizon_
Magn	_pendre au nez_	_comme deux ronds_
Magn	_pendre au nez_	_comme un sifflet de deux (sous/ronds)_
QSyn	_pendre au nez_	risquer [d’arriver]
QSyn	_pendre au nez_	menacer
Magn	_pendre au nez_	_comme deux ronds/sous_
Magn	_poignée de main_	ferme
Oper1	_poignée de main_	donner 
Syn	_pomme de terre_	patate
Oper1	_premiers soins_	prodiguer 
Magn	_prendre une veste_	sacrée 
Oper1	_prise de sang_	faire 
Oper1	_sous le coude_	avoir 
ContOper1	_sur Aposs gardes_	rester 
Oper1	_sur Aposs gardes_	être 
CausOper1	_sur le qui-vive_	mettre 
Oper1	_sur le qui-vive_	être 
A1	_tache de rousseur_	criblé 
A1	_tache de rousseur_	couvert 
Syn	_tomber  dans le panneau_	_donner dans le panneau_
Magn	_tomber dans le panneau_	tout droit
Syn	_trou du cul_	_trou de balle_
Magn	_un peu_	un tout petit peu
Magn	_un peu_	un petit peu
Syn	_un peu_	brin
Syn	_un peu_	chouïa
Syn	_un peu_	lueur
Syn	_un peu_	pointe
Syn	_un peu_	poignée
Syn	_un peu_	soupçon
Syn	_verres de contact_	_lentilles cornéennes_
Oper1	_volée de bois verts_	donner 
Oper2	_volée de bois verts_	recevoir 
Func0	abaissement	a lieu
Func0	abaissement	se produit
Oper1	abaissement	subir 
IncepOper1	abandon	_tomber en quenouille_
IncepOper1	abandon	tomber 
Magn	abandon	complet
QSyn	abandonner	_laisser pour compte_
Magn	abattre	comme un chien
IncepFunc0	abcès	naît
IncepFunc0	abcès	se forme
LiquFunc0	abcès	crever
LiquFunc0	abcès	ouvrir
LiquFunc0	abcès	percer
LiquFunc0	abcès	vider
Oper1	abcès	avoir 
Oper1	abcès	être atteint 
Mult	abeille	essaim
Sloc	abeille	ruche
CausFunc0	abîme	creuser 
IncepReal1	abîme	glisser
IncepReal1	abîme	tomber
Magn	abîme	infranchissable
Magn	abîme	sans fond
Magn	abîmé	en bouillie
Magn	abîmé	en capilotade
Magn	abîmé	en compote
Syn	abîmer	déglinguer
Oper1	ablation	procéder 
Syn	abondamment	à gogo
Adv1	abondance	d’
Adv1	abondance	en 
Adv1	abondance	en 
Oper1	abordage	se lancer 
Oper1	abordage	grimper 
Oper1	abordage	monter 
AntiMagn	abri	précaire
Magn	abri	assuré
Magn	abri	imprenable
Magn	abri	inexpugnable
Magn	abri	inviolable
Magn	abri	invulnérable
Magn	abri	sûr
Real2	abri	se cacher
Real2	abri	se tenir
Real2	abri	se terrer
A1	absence	_par contumace_
Adv1	absence	en 
Magn	absence	totale
Adv1	absent	en absence 
Anti	absent	présent
S0	absent	absence
Oper1	absolution	accorder 
Oper1	absolution	donner 
QSyn	absolution	rémission
Oper1	abstinence	pratiquer 
Oper1	abstraction	faire 
QSyn	absurde	saugrenu
QSyn	absurdité	calembredaine
AntiMagn	abus	léger
Magn	abus	criant
Magn	abus	grave
Oper1	abus	commettre 
IncepOper1	Académie	entrer 
AntiReal1	accablement	vaincre 
Func1	accablement	pèse 
IncepOper1	accablement	tomber 
Magn	accablement	immense
Magn	accablement	profond
Oper1	accablement	être en proie 
Oper1	accablement	secouer 
S1	accabler	fardeau
LiquFunc0	accalmie	briser 
Oper1	accalmie	connaître 
Syn	accélérateur	champignon
Magn	accélérer	avoir le pied au plancher
Magn	accélérer	mettre le pied sur le plancher
FinOper1	accent	perdre
Magn	accent	_à couper au couteau_
Magn	accent	fort
Magn	accent	marqué
A1	accent	sur 
AntiMagn	accent	léger
CausFunc1	accent	mettre 
CausFunc1	accent	placer 
Func1	accent	frappe 
Func1	accent	se trouve 
Func1	accent	tombe 
IncepOper1	accent	prendre 
Oper1	accent	avoir 
Magn	acceptation	entière
Magn	acceptation	totale
AntiMagn	accepter	difficilement
Magn	accepter	avec empressement
Magn	accepter	avec joie
Magn	accepter	avec plaisir
Magn	accepter	de plein gré
Anti	accepter	_faire le gros dos_
QSyn	accepter	faire le gros dos
QSyn	accepter	_faire le dos rond_
QSyn	accepter	se plier
A2	accès	d’
CausFunc1	accès	donner 
CausFunc1	accès	ouvrir 
Oper1	accès	avoir 
V0	accès	accéder
AntiMagn	accident	mineur
AntiMagn	accident	léger
CausFunc0	accident	causer 
CausFunc0	accident	provoquer 
Func0	accident	survient
Func0	accident	se produit
Magn	accident	grave
Magn	accident	mortel
Oper1	accident	avoir 
QSyn	accident	méchéf
Sloc	accident	théâtre 
Syn	accident	crash
Syn	accident	maladresse
Adv1	acclamation	par 
Oper1	accolade	donner 
Oper2	accolade	recevoir 
V0	accolade	accoler
QSyn	accomodant	coulant
QSyn	accomodant	indulgent
QSyn	accompagner	aller de pair
Bon	accord	satisfaisant
CausOper1	accord	mettre 
IncepFunc0	accord	intervient 
IncepOper1	accord	arriver 
IncepOper1	accord	parvenir 
IncepOper1	accord	trouver 
Oper1	accord	donner 
Oper1	accord	être 
AntiBon	accordéon	flonflon
S0	accoucher	accouchement
AntiMagn	accroc	léger
Real2	accroc	accrocher
QSyn	accrochage	bagarre
QSyn	accrochage	affrontement
AntiBon	accueil	_soupe à la grimace_
AntiMagn	accueil	frais
AntiMagn	accueil	froid
AntiMagn	accueil	glacial
AntiMagn	accueil	rébarbatif
Bon	accueil	bon
Bon	accueil	favorable
Magn	accueil	chaleureux
Magn	accueil	charmant
Magn	accueil	cordial
Magn	accueil	empressé
Magn	accueil	émouvant
Magn	accueil	enthousiaste
Magn	accueil	exceptionnel
Magn	accueil	grandiose
Magn	accueil	inoubliable
Magn	accueil	mémorable
Magn	accueil	affable
Magn	accueil	aimable
Magn	accueil	bon
Oper1	accueil	faire 
Oper1	accueil	ménager 
Oper1	accueil	réserver 
Oper2	accueil	obtenir 
Oper2	accueil	recevoir 
Oper2	accueil	rencontrer 
Oper2	accueil	trouver 
Magn	accueillir	à bras ouverts

AntiVer	accusation	infondée
AntiVer	accusation	sans fondement
Labor12	accusation	mettre 
A2	accusation	_sur la sellette_
A2	accusation	en 
AntiReal2	accusation	rejeter 
AntiVer	accusation	fausse
AntiVer	accusation	mensongère
Func2	accusation	pèse 
Func2	accusation	retombe 
Oper1	accusation	déposer 
Oper1	accusation	lancer 
Oper1	accusation	porter 
Oper1	accusation	formuler 
Oper2	accusation	_être en butte_ 
Oper2	accusation	_faire face_ 
Real1	accusation	étayer 
Sing	accusation	chef 
Ver	accusation	fondée
A2	accuser	en accusation
Anti	accuser	blanchir
Anti	accuser	acquitter
S2	accuser	accusé
AntiMagn	achat	menu
Magn	achat	important
Oper1	achat	faire 
QSyn	acheter	_faire les courses_
S0	acheter	achat1
S1	acheter	acheteur
S2	acheter	achat2
Sloc	acheter	magasin
Sloc	acheter	marché
Magn	acide	fort
Syn	acide nitrique	acide azotique
Oper1	acquiescement	donner 
Syn	acquiescement	consentement
S0	acquiescer	acquiescement
Syn	acquiescer	_opiner du chef_
Oper1	acquittement	prononcer 
Oper2	acquittement	bénéficier 
Oper2	acquittement	faire l’objet 
IncepOper1	action	entreprendre 
IncepOper1	action	passer 
IncepOper1	action	entrer 
Oper1	action	accomplir 
Oper1	action	faire 
Oper1	action	exercer 
FinOper1	activité	cesser
Func0	activité	règne 
Func0	activité	se déroule 
Magn	activité	fiévreuse
Magn	activité	intense
Magn	activité	vertigineuse
Oper1	activité	avoir 
Oper1	activité	déployer 
Oper1	activité	être 
Oper1	activité	exercer 
Oper1	activité	pratiquer 
Magn	actualité	brûlante
AntiMagn	addition	légère
Magn	addition	salée
Magn	addition	lourde
Real3	addition	payer
Real3	addition	régler
QSyn	adhérent	sbire
QSyn	adhérent	suppôt
Magn	adhérer	opiner du bonnet
V0	adhésion	adhérer
Oper1	adieu	dire 
Oper1	adieu	faire 
CausFunc1	administration	confier 
Oper1	administration	appartenir 
Oper1	administrer	filer 
IncepOper1	admiration	tomber 
Magn	admiration	la plus grande
Magn	admiration	grande
Magn	admiration	profonde
Magn	admiration	vive
Oper1	admiration	avoir 
Oper1	admiration	éprouver 
Oper1	admiration	être 
Oper1	admiration	ressentir 
Oper1	admiration	vouer 
Oper2	admiration	emporter 
Oper2	admiration	être l’objet 
Oper2	admiration	forcer 
Oper2	admiration	inspirer 
Oper2	admiration	provoquer 
Oper2	admiration	susciter 
Adv1	admirer	admirativement




AntiMagn	admonestation	feutrée
Oper1	admonestation	élever 
QSyn	adolescent	titi
Syn	adolescent	ado
Magn	adonner, s’	à cœur-joie
V0	adoration	adorer
Magn	adresse	admirable
Magn	adresse	grande
Magn	adresse	incroyable
Magn	adresse	merveilleuse
Magn	adresse	rare
Oper1	adresse	jouer 
Oper1	adresse	user 
Oper1	adultère	commetre 
Magn	adversaire	farouche
Locin	aéroport	à 
Magn	affaire	grosse
Magn	affaire	mince
Oper1	affaires	conduire 
Magn	affecter	_au plus haut point_
A2	affection	cher
CausFunc0	affection	susciter 
Labor12	affection	avoir 
Magn	affection	grande
Oper1	affection	porter 
CausFunc0	affiche	poser 
Fact0	affiche	annonce
Fact0	affiche	proclame
LiquFunc0	affiche	arracher
Adv1	affinité	en
LiquFunc0	afflux	endiguer
Magn	affront	cruel
Magn	affront	cuisant
Magn	affront	grand
Magn	affront	vif
Oper2	affront	éprouver
Oper2	affront	essuyer
Oper1	affront	faire
Oper1	affront	infliger
Oper2	affront	ressentir
Oper2	affront	subir 
Func1	affrontement	oppose 
IncepOper1	affrontement	_croiser le fer_
IncepOper1	affrontement	_engager le fer_
Magn	affrontement	violent
Oper1	affrontement	mener
Adv1	âge	à
AntiMagn	âge	bas
AntiMagn	âge	tendre
IncepOper1	âge	atteindre 
Magn	âge	avancé
Magn	âge	grand
Magn	âge	respectable
Magn	âge	vénérable
Magn	âge	mathusalémien
Magn	âge	mûr
Oper1	âge	avoir
Oper1	âge	avoir
Fact0	agence de presse	annonce
Fact0	agence de presse	indique
Fact0	agence de presse	rapporte
CausFunc1	agenda	inscrire 
Magn	agile	_comme un lièvre_
Magn	agile	_comme un singe_
Magn	agir	ne pas y aller avec le dos de la cuillère 
Magn	agir	ne pas y aller de main morte
QSyn	agitation	branle-bas
QSyn	agitation	remous
Magn	agiter, s’	comme un démon
Magn	agiter, s’	comme un diable
Magn	agiter, s’	comme un diable dans un bénitier
QSyn	agiter, s’	barboter
QSyn	agiter, s’	debattre, se
Oper1	agrément	donner
S1	agression	agresseur
AntiReal2	agression	répousser 
LiquFunc0	agression	stopper 
LiquFunc0	agression	arrêter 
Oper1	agression	commettre 
Oper1	agression	commettre
Func1	aide	parvient
Func1	aide	provient
Func1	aide	vient
Labor12	aide	venir 
Oper1	aide	prêter 
Oper1	aide	accorder 
Oper1	aide	bénéficier 
Oper1	aide	donner 
Oper1	aide	fournir 
Oper1	aide	octroyer 
Oper1	aide	porter 
Oper2	aide	recevoir 
Sing	aide	_coup de main_
Sing	aide	_coup de pouce_
QSyn	aider	assister
QSyn	aider	donner un coup de main
QSyn	aider	donner un coup de pouce
QSyn	aider	prêter main forte
QSyn	aider	seconder
Sloc	aigle	aire
Son	aigle	trompette
QSyn	aiguiser	affûter
Syn	aiguiser	affiler
Sing	ail	gousse
Sing	ail	tête
Anti	aimable	_comme une porte de prison_
Magn	aimer	_à la folie_
Magn	aimer	_à perdre la raison_
Magn	aimer	éperdument
Magn	aimer	passionément
QSyn	aimer	porter dans [...] cœur
Ver	aimer	d’amour
ContOper1	air	conserver
FinOper1	air	perdre
Magn	air	grand
AntiVer	air	emprunté
Caus1Oper1	air	prendre 
CausFunc1	air	donner 
IncepOper1	air	prendre 
Oper1	air	avoir 
Oper1	air	montrer 
Real1	air	prendre 
Oper1	aisance	avoir 
Oper1	aisance	jouir 
Oper1	aisance	posséder 
A2	ajouter	supplémentaire
Magn	alarme	chaude
Magn	alarme	vive
Oper1	alarme	donner
Oper1	alarme	jeter
Oper1	alarme	sonner
Oper1	alarme	tirer
Oper1	alarme	tirer
IncepReal1	alcool	sombrer
Pred	alcoolique	boire
CausFunc0	alerte	déclencher 
CausFunc0	alerte	donner 
CausOper1	alerte	placer
CausOper1	alerte	tenir
Magn	alerte	rouge
Magn	alerte	chaude
Magn	alerte	permanente
Oper1	alerte	lancer
AntiVer	alibi	faux
CausFunc1	alibi	fournir 
Magn	alibi	en beton
Magn	alibi	incontestable
Magn	alibi	irréfutable
Oper1	alibi	avoir
Ver	alibi	exact
Syn	allécher	donner de l’eau à la bouche
QSyn	allégresse	liesse
AntiBon	Allemand	boche
AntiBon	Allemand	Fridolin
AntiBon	Allemand	Frisé
A1	aller	en route
Magn	aller	à merveille
Magn	aller	à ravir
Magn	aller	comme un gant
Magn	aller à cheval	à franc étrier
Syn	aller au lit	se coucher

Oper1	allergie	avoir
Oper1	allergie	faire
Oper1	allocution	faire
Oper1	allocution	prononcer
IncepOper1	allure	adopter 
Oper1	allusion	faire
Oper1	allusion	faire
Oper1	allusion	lancer
Ver	allusion	discrète
Ver	allusion	voilée
A0	alphabet	alphabétique
IncepFunc1	altercation	éclate
QSyn	altercation	_prise de bec_
Func1	altercation verbale	oppose 
AntiMagn	altitude	basse
Magn	altitude	haute
AntiBon	amant	piètre
Bon	amant	bon
Oper2	amant	avoir 
Sloc	amarrer	bitte (d’amarrage)
Sinstr	ambassadeur	lettres des créances
LiquFunc0	ambiguïté	lever 
AntiMagn	ambition	modeste
AntiVer	ambition	démesurée
Labor12	ambition	avoir 
Magn	ambition	dévorante
Magn	ambition	grande
Magn	ambition	insatiable
Oper1	ambition	avoir
Oper1	ambition	nourrir
QSyn	âme	mânes
Oper1	amélioration	apporter 
Oper2	amélioration	connaître
Syn	améliorer	bonifier
Func2	amende	être prononcée 
Labor12	amende	frapper 
Magn	amende	forte
Magn	amende	lourde
Magn	amende	considérable
Oper1	amende	coller 
Oper1	amende	donner 
Oper1	amende	imposer 
Oper2	amende	avoir 
Oper2	amende	écoper 
Oper2	amende	encourir 
Oper2	amende	prendre 
Oper2	amende	recevoir 
QSyn	amende	contravention
Magn	amer	comme chicotin
AntiBon	Américain	Amerloque
AntiBon	Américain	Ricain
AntiBon	Américain	Yankee
Magn	amertume	profonde
IncepOper1	ami	se faire 
Magn	ami	_de cœur_
Magn	ami	(très) proche
Magn	ami	intime
Magn	ami	meilleur
Ver	ami	fidèle
Ver	ami	sûr
Ver	ami	véritable
Magn	amis	inséparables
IncepOper1	amitié	se prendre 
LiquFunc0	amitié	briser 
Magn	amitié	indéfectible
Oper1	amitié	porter 
Magn	amnistie	générale
Oper1	amnistie	accorder 
Magn	amour	ardent
Magn	amour	effréné
Magn	amour	fou
Magn	amour	passionné
QSyn	amour	aventure
QSyn	amour	flamme
Pred	amoureux	_en pincer_
Pred	amoureux	craquer
S1	amoureux	amoureux
Real1	amour-propre	_boire du petit-lait_
A1	ampleur	de
IncepOper1	ampleur	prendre 
Magn	ampleur	grande
Oper1	ampleur	avoir 
AntiVer	analogie	inepte
AntiReal2	analyse	résister 
Bon	analyse	lucide
Func1	analyse	provient
Func2	analyse	porte 
IncepOper1	analyse	procéder 
Labor12	analyse	soumettre 
Magn	analyse	détaillée
Magn	analyse	fine
Magn	analyse	méticuleuse
Magn	analyse	pénétrante
Magn	analyse	poussée
Magn	analyse	profonde
Oper1	analyse	effectuer 
Oper1	analyse	faire 
Oper1	analyse	mener 
Oper1	analyse	pratiquer 
Oper2	analyse	subir 
AntiReal1	ancre	lever 
Real1	ancre	jeter 
Real1	ancre	mouiller 
Magn	ancré	profondément
Magn	âne	bâté
A0	âne	asinien
Son	âne	brait
Syn	aneth	fenouille
AntiBon	Anglais	angliche
AntiBon	Anglais	rosbif
Oper1	angle	faire 
IncepFunc1	angoisse	prendre
IncepFunc1	angoisse	saisir
QSyn	angoissé	flippant
Magn	anneau	lourd
S0	anonyme	anonymat
Locin	Antiquité	dans 
A1	apogée	à
IncepOper1	apogée	atteindre 
IncepOper1	apogée	trouver 
Magn	apologiste	éhonté
Magn	apothéose	triomphante
QSyn	apparaître	_se faire jour_
AntiVer	apparence	trompeuse
Real1	appartement	occuper 
Syn	appartement	appart
Real2	appel	entendre
Func1	appel	vient
Oper1	appel	faire 
Fact0	appel	aboutit
Labor12	appel	porter 
Magn	appel	pathétique
Oper1	appel	faire 
Oper1	appel	lancer 
Oper1	appel	faire 
Oper1	appel	interjeter 
AntiVer	appeler	malencontreusement
Magn	appeler	avec flamme
AntiReal2	appeler	Ça ne répond pas
AntiMagn	appetit	d'oiseau
CausFunc0	appetit	ouvrir 
LiquFunc0	appetit	couper 
Magn	appetit	d'ogre
Magn	appetit	féroce
Magn	appetit	vorace
AntiMagn	applaudir	mollement
Magn	applaudir	ovationner
Magn	applaudir	_à tout rompre_
Magn	applaudir	_des deux mains_
Magn	applaudir	bruyamment
Magn	applaudir	vivement
AntiMagn	applaudissements	clairsemés
AntiMagn	applaudissements	maigres
AntiMagn	applaudissements	quelques
AntiMagn	applaudissements	rares
Magn	applaudissements	_à tout rompre_
Magn	applaudissements	frénétiques
Magn	applaudissements	forts
Magn	applaudissements	nombreux
Magn	applaudissements	nourris
Oper2	applaudissements	recueillir 
Son	applaudissements	retentissent
Son	applaudissements	sonnent
Oper1	application	faire 
Labor12	application	mettre 
Oper1	appréciation	faire 
Magn	apprécier	grandement
Caus1Oper1	apprenti	se placer 
Oper1	apprentissage	faire 
Magn	approbation	ardente
Syn	approbation	_feu vert_
Syn	approbation	aval
Caus1Oper1	approche	adopter
Magn	approcher, s’	à grands pas
Anti	approuver	désapprouver
Magn	approuver	plébisciter
Magn	approuver	complètement
Magn	approuver	tout à fait
S0	approuver	approbation
Syn	approximativement	_à peu près_
Syn	approximativement	N-aine
Syn	approximativement	environ
Syn	approximativement	vers N 
Syn	approximativement
	_dans les grandes lignes_
A1	appui	à
Magn	appui	total
Magn	appui	sans réserve
Syn	appui	soutien
Oper1	appui	apporter 
Oper1	appui	accorder 
Oper1	appui	apporter 
Oper1	appui	donner 
Oper1	appui	prendre 
Oper2	appui	avoir 
Oper2	appui	recevoir 
V0	appui	appuyer 
V0	appui	s’appuyer 
Ver	appui	fidèle
Magn	appuyer	sans réserve
Magn	appuyer	fortement
S0	appuyer	appui
Syn	appuyer	se ranger 
AntiBon	Arabe	Bicot
AntiBon	Arabe	bougnoule
QSyn	Arabe	bicot
QSyn	Arabe	bougnoul
IncepReal1	arène	entrer 
Locin	arène	dans 
S0	argent	blanchiment 
S0	argent	lavage 
Sloc	argent	portefeuille
Sloc	argent	porte-monnaie
Syn	argent	sous
Syn	argent	fafiot
Syn	argent	galette
Magn	argument	massue
AntiMagn	argument	faible
AntiReal2	argument	rejeter 
AntiVer	argument	caduc
AntiVer	argument	spécieux
Labreal12	argument	convaincre
LiquFunc0	argument	réduire [...] au néant
Magn	argument	décisif
Magn	argument	irréfutable
Magn	argument	frappant
Magn	argument	péremptoire
Magn	argument	probant
Oper1	argument	apporter 
Oper1	argument	avancer 
Real2	argument	accepter
Real2	argument	se rendre
Ver	argument	convaincant 
Ver	argument	valide 
Magn	argumentation	serrée
Anti	aristocrate	roturier
Magn	aristocrate	de haute lignée
QSyn	aristocratique	de haure naissance
Magn	arme	puissante
Ver	arme	infaillible
Magn	armé	jusqu’aux dents
Son	armes	cliqueter
Oper1	armistice	conclure 
Bon	arôme	délicieux
Oper1	arôme	exhaler 
Oper1	arôme	répandre 
QSyn	arôme	parfum
Oper1	arrestation	opérer 
Oper1	arrestation	procéder 
QSyn	arrêt	_point d’orgue_ 
Magn	arrêter	net
S0	arrêter	arrestation
S0	arrêter	arrêt
Syn	arrêter	épingler
Syn	arrêter	pincer
QSyn	arrivée	afflux
S0	arriver	arrivée
Magn	arroser	copieusement
Magn	ascendant	puissant
Magn	ascension	fulgurante
Oper1	ascension	connaître 
Oper1	ascension	réaliser 
Oper1	ascension	avoir 
Magn	asile	certain
Magn	asile	infaillible
Magn	asile	tutélaire
Magn	asile	solide
Magn	asile	sûr
AntiVer	aspect	paillettes
IncepOper1	aspect	prendre 
Oper1	aspect	avoir 
Oper1	aspect	se présenter 
Fact2	asphalte	couvre
Labreal12	asphalte	couvrir
Labreal12	asphalte	asphalter 
Real1	asphalte	mettre 
Real1	aspirateur	passer 
Oper1	assassinat	commettre 
S1	assassinat	assassin
S1	assassinat	auteur
AntiBon	assassinner	sauvagement
AntiReal2	assaut	briser 
Func0	assaut	se produit
IncepOper1	assaut	monter 
IncepOper1	assaut	se lancer 
Labreal12	assaut	prendre
Oper1	assaut	donner 
V0	assaut	assaillir 
Oper1	assentiment	donner 
Oper2	assentiment	recueillir 
Syn	asseoir, s’	_prendre place_
CausFunc1	assise	donner 
Ver	assise	solide
Oper1	assistance	apporter 
Oper1	assistance	fournir 
Oper1	assistance	porter 
Oper2	assistance	recevoir 
QSyn	assistance	main-forte
IncepFunc0	association	se crée
LiquFunc0	association	dissoudre 
QSyn	associé	_en cheville_ 
Oper1	assurance	donner 
Oper2	assurance	avoir 
A1	astreinte	d’
Func1	atmosphère	regne
IncepOper1	atmosphère	recouvrer 
Magn	atout	fort
Magn	atout	majeur
Oper1	atout	disposer 
Real1	atout	jouer 
Real1	atout	se servir 
Oper1	atrocité	commettre 
Magn	attaché	profondément
Magn	attachement	grand
Magn	attachement	profond
Oper1	attachement	avoir 
Caus1Oper1	attaque	mener
AntiReal2	attaque	repousser
Oper2	attaque	subir 
IncepOper1	attaque	déclencher 
IncepOper1	attaque	lancer 
IncepOper1	attaque	monter 
Magn	attaque	_coup de boutoir_
Magn	attaque	en règle
Magn	attaque	vive
Magn	attaque	charge
Magn	attaque	furieuse
Magn	attaque	_botte secrète_ 
Oper1	attaque	conduire 
Func2	attaque	être dirigée 
Func2	attaque	se déroule
QSyn	attaque	assaut
QSyn	attaque	frappe
V0	attaque	attaquer
V0	attaque	attaquer
AntiMagn	atteint	légèrement
Magn	atteinte	grave
Oper1	atteinte	commettre 
QSyn	attendre	_croquer le marmot_ 
Magn	attendre	_de pied ferme_

QSyn	attendre	poireauter

AntiVer	attendu	illusoire
AntiBon	attentat	abominable
AntiReal2	attentat	échapper
AntiReal2	attentat	survivre
Func0	attentat	se produit
Magn	attentat	violent
Mult	attentat	vague
Oper1	attentat	commetre 
Oper1	attentat	perpétrer 
Oper2	attentat	essuyer 
Oper2	attentat	être la cible 
S1	attentat	auteur
Real2	attente	répondre 
AntiReal2	attente	decevoir 
AntiReal2	attente	tromper 
Oper1	attention	accorder 
Anti	attention	inattention
A2	attention	attentionné 
A1	attention	attentif
Adv1	attention	attentivement
Anti	attention	dissipation
Anti	attention	distraction
Magn	attention	méticuleuse
Magn	attention	minutieuse
Magn	attention	soutenue
Oper1	attention	faire 
Oper1	attention	porter 
Oper1	attention	prêter 
Syn	attention	gaffe
AntiVer	atterrir	en catastrophe
AntiVer	atterrissage	d’urgence
Oper1	atterrissage	effectuer 
V0	atterrissage	atterrir
Caus1Oper1	attitude	adopter
Caus1Oper1	attitude	prendre
QSyn	attraper	cravater
QSyn	attraper	alpaguer
QSyn	attraper	détenir
QSyn	attraper	prendre
QSyn	attraper	saisir
Syn	attraper	_mettre la main_ 
Syn	attraper	_mettre le grappin_ 
Oper2	attribut	avoir 
Oper1	au courant	être 
V0	au lieu de	remplacer
Anti	au moins	au plus
QSyn	au moins	au minimum
V0	audace	ne pas avoir froid aux yeux
Adv1	audace	bille en tête
Adv1	audace	avec 
Oper1	audace	avoir 
AntiMagn	augmentation	légère
QSyn	augmentation	expansion
Magn	augmenter	considérablement
Oper1	aumône	faire 
AntiBon	auto	bagnole
AntiBon	auto	tacot
Syn	auto	voiture
Syn	autobus	bus
